iter	Logloss
0	0.4993923926
1	0.3540139504
2	0.2543652282
3	0.1849408279
4	0.1261238251
5	0.09373473623
6	0.06555229311
7	0.04574929712
8	0.03314434541
9	0.0235938231
10	0.01730029568
11	0.01289223241
12	0.009661809602
13	0.007402898466
14	0.005636862255
15	0.004439369222
16	0.003453509124
17	0.002721648801
18	0.002162838682
19	0.00178205593
20	0.0014413516
21	0.00117418321
22	0.0009869469117
23	0.0008280783524
24	0.0007256470558
25	0.0006280030775
26	0.0005463476173
27	0.0004884861976
28	0.0004269030286
29	0.0003765873927
30	0.0003304648992
31	0.0002960280272
32	0.0002649988035
33	0.000236234874
34	0.0002145656596
35	0.0001972080907
36	0.0001829797998
37	0.0001670673196
38	0.0001508556556
39	0.0001403086336
40	0.0001283816317
41	0.0001209492493
42	0.000113623657
43	0.0001063005671
44	9.873861799e-05
45	9.328920717e-05
46	8.835404476e-05
47	8.249073203e-05
48	7.813691727e-05
49	7.462672549e-05
50	6.9986947e-05
51	6.61100305e-05
52	6.229212054e-05
53	5.915548765e-05
54	5.804193143e-05
55	5.483592438e-05
56	5.285080515e-05
57	5.12438847e-05
58	4.927651722e-05
59	4.763288726e-05
60	4.598228111e-05
61	4.416090151e-05
62	4.211488368e-05
63	4.057247971e-05
64	3.802798259e-05
65	3.691469387e-05
66	3.545783754e-05
67	3.43687499e-05
68	3.346082513e-05
69	3.285303483e-05
70	3.167767333e-05
71	3.044986703e-05
72	2.934026017e-05
73	2.851094193e-05
74	2.771661821e-05
75	2.690963658e-05
76	2.618649917e-05
77	2.512913359e-05
78	2.432245033e-05
79	2.364834822e-05
80	2.307345866e-05
81	2.279205354e-05
82	2.185048217e-05
83	2.126037632e-05
84	2.081534161e-05
85	2.03868643e-05
86	1.99543009e-05
87	1.949803937e-05
88	1.905134149e-05
89	1.863412127e-05
90	1.821844614e-05
91	1.773612051e-05
92	1.741730498e-05
93	1.705752216e-05
94	1.656811479e-05
95	1.627504713e-05
96	1.586397277e-05
97	1.535144249e-05
98	1.514740731e-05
99	1.471491469e-05
100	1.434952923e-05
101	1.406578505e-05
102	1.374510415e-05
103	1.347403558e-05
104	1.313627282e-05
105	1.291528798e-05
106	1.269938699e-05
107	1.240620641e-05
108	1.225474545e-05
109	1.200944004e-05
110	1.17188825e-05
111	1.154372664e-05
112	1.133108762e-05
113	1.114839171e-05
114	1.102711822e-05
115	1.088610597e-05
116	1.067782822e-05
117	1.052181729e-05
118	1.036683853e-05
119	1.02787874e-05
120	1.013375134e-05
121	1.001296312e-05
122	9.887434449e-06
123	9.669867124e-06
124	9.592719924e-06
125	9.419637052e-06
126	9.327574618e-06
127	9.140417314e-06
128	9.049219659e-06
129	8.966889073e-06
130	8.821420742e-06
131	8.668443873e-06
132	8.578392444e-06
133	8.483981104e-06
134	8.40054029e-06
135	8.300515851e-06
136	8.229229418e-06
137	8.094312446e-06
138	8.007371561e-06
139	7.913136497e-06
140	7.838589247e-06
141	7.783636272e-06
142	7.699303278e-06
143	7.602750154e-06
144	7.491588423e-06
145	7.396235007e-06
146	7.297543472e-06
147	7.182521972e-06
148	7.063002336e-06
149	6.955126544e-06
150	6.894036536e-06
151	6.828677565e-06
152	6.720046028e-06
153	6.678051541e-06
154	6.578006281e-06
155	6.512892253e-06
156	6.424956754e-06
157	6.336634921e-06
158	6.277234122e-06
159	6.211498973e-06
160	6.153605794e-06
161	6.070957197e-06
162	6.012312778e-06
163	5.933990985e-06
164	5.878682745e-06
165	5.82884686e-06
166	5.774520617e-06
167	5.692799141e-06
168	5.647467656e-06
169	5.598336847e-06
170	5.557111637e-06
171	5.508553727e-06
172	5.459441636e-06
173	5.41299502e-06
174	5.386748372e-06
175	5.323816669e-06
176	5.279044295e-06
177	5.237782915e-06
178	5.203001552e-06
179	5.160999699e-06
180	5.104494563e-06
181	5.048291902e-06
182	4.990047064e-06
183	4.955011133e-06
184	4.912214769e-06
185	4.878579769e-06
186	4.846383148e-06
187	4.795970012e-06
188	4.743450501e-06
189	4.713567665e-06
190	4.692416991e-06
191	4.662325082e-06
192	4.630591659e-06
193	4.598668067e-06
194	4.571747342e-06
195	4.538387462e-06
196	4.515377537e-06
197	4.493737532e-06
198	4.465793846e-06
199	4.43828513e-06
200	4.412964745e-06
