iter	Passed	Remaining
0	940	469271
1	1811	451081
2	2439	404151
3	3102	384739
4	4217	417499
5	5031	414266
6	6003	422845
7	7149	439687
8	8191	446904
9	9066	444245
10	10055	447011
11	11002	447437
12	11831	443237
13	12457	432447
14	13348	431611
15	14188	429210
16	15068	428132
17	15821	423656
18	16542	418798
19	17292	415023
20	17859	407375
21	18161	394606
22	18914	392279
23	19611	388969
24	20265	385042
25	21218	386828
26	22029	385916
27	23028	388196
28	23905	388259
29	24795	388462
30	25454	385102
31	26345	385298
32	27259	385769
33	28195	386449
34	29523	392238
35	30400	391824
36	31274	391358
37	32209	391600
38	32887	388746
39	33593	386323
40	34466	385860
41	35417	386214
42	36188	384602
43	37163	385149
44	37965	383878
45	38700	381956
46	39252	378326
47	39573	372652
48	39725	365637
49	39880	358923
50	40242	354288
51	40721	350830
52	41199	347472
53	41795	345203
54	42434	343330
55	43022	341109
56	43509	338150
57	43989	335228
58	44461	332333
59	45029	330214
60	45713	328988
61	46256	326782
62	46524	322714
63	46993	320146
64	47151	315555
65	47588	312928
66	48198	311489
67	48713	309473
68	49285	307853
69	49894	306497
70	50500	305134
71	51052	303478
72	51592	301778
73	52119	300040
74	52610	298127
75	53119	296351
76	53681	294899
77	54184	293150
78	54651	291245
79	54962	288550
80	55473	286952
81	55959	285256
82	56387	283295
83	56823	281414
84	57281	279666
85	57755	278030
86	58307	276792
87	58797	275281
88	59290	273804
89	59801	272431
90	60500	271920
91	60996	270507
92	61432	268848
93	61694	266469
94	62114	264805
95	62601	263446
96	63096	262144
97	63305	259680
98	63651	257820
99	64202	256810
100	64751	255801
101	65244	254583
102	65741	253392
103	65924	251019
104	66401	249794
105	66926	248765
106	67313	247234
107	67722	245807
108	68209	244677
109	68642	243368
110	69072	242065
111	69477	240690
112	69928	239489
113	70372	238277
114	70825	237111
115	71267	235919
116	71657	234570
117	72082	233351
118	72470	232026
119	72872	230764
120	73163	229164
121	73566	227937
122	74008	226838
123	74465	225799
124	74943	224831
125	75301	223515
126	75718	222386
127	75950	220730
128	76303	219446
129	76731	218388
130	77196	217446
131	77721	216677
132	78266	215968
133	78832	215319
134	79298	214399
135	79724	213381
136	80228	212577
137	80626	211498
138	81056	210514
139	81511	209600
140	81950	208654
141	82500	207994
142	83019	207258
143	83247	205807
144	83619	204724
145	84061	203821
146	84483	202874
147	84750	201568
148	85206	200722
149	85700	199967
150	86152	199119
151	86636	198351
152	87108	197559
153	87518	196631
154	87961	195785
155	88418	194974
156	88819	194044
157	89245	193176
158	89653	192275
159	90058	191374
160	90430	190408
161	90788	189422
162	91172	188497
163	91548	187562
164	91958	186702
165	92318	185748
166	92734	184914
167	93088	183960
168	93456	183041
169	93935	182344
170	94426	181675
171	95006	181174
172	95493	180500
173	95925	179723
174	96317	178874
175	96700	178016
176	97084	177165
177	97640	176631
178	98124	175966
179	98478	175072
180	99075	174613
181	99546	173932
182	100043	173298
183	100582	172740
184	101011	171993
185	101404	171189
186	101825	170435
187	102232	169663
188	102781	169127
189	103233	168433
190	103636	167663
191	104024	166872
192	104612	166404
193	105170	165887
194	105723	165361
195	106506	165193
196	107189	164865
197	107842	164487
198	108319	163840
199	109032	163548
200	109628	163078
201	110593	163152
202	111351	162913
203	111985	162488
204	112552	161965
205	113223	161590
206	113726	160975
207	114305	160467
208	114805	159849
209	115289	159209
210	115860	158689
211	116358	158071
212	116771	157340
213	117369	156858
214	117851	156221
215	118328	155579
216	118840	154986
217	119261	154274
218	119667	153545
219	120040	152778
220	120420	152023
221	120782	151249
222	121164	150504
223	121507	149714
224	121961	149064
225	122244	148208
226	122694	147558
227	123059	146807
228	123470	146116
229	123870	145413
230	124242	144680
231	124585	143918
232	124960	143195
233	125322	142460
234	125645	141685
235	125996	140944
236	126394	140260
237	126766	139550
238	127152	138857
239	127489	138114
240	127645	137179
241	128197	136673
242	128568	135976
243	128957	135299
244	129361	134641
245	129560	133773
246	129932	133089
247	130201	132301
248	130642	131691
249	131116	131116
250	131763	130713
251	132387	130286
252	133040	129885
253	133383	129182
254	133730	128485
255	134141	127853
256	134506	127179
257	134873	126509
258	135220	125822
259	135573	125144
260	135933	124475
261	136287	123803
262	136630	123123
263	136992	122463
264	137322	121776
265	137710	121143
266	138104	120518
267	138457	119858
268	138845	119231
269	139247	118618
270	139598	117963
271	139985	117340
272	140437	116774
273	140844	116171
274	141288	115599
275	141697	115000
276	142781	114946
277	143943	114947
278	144582	114525
279	145157	114052
280	145721	113569
281	146346	113132
282	146892	112635
283	147450	112145
284	148005	111653
285	148507	111121
286	149099	110655
287	149727	110216
288	150272	109714
289	150957	109313
290	151545	108842
291	152137	108371
292	152747	107913
293	153393	107479
294	154709	107510
295	155322	107046
296	155856	106528
297	156490	106077
298	157058	105581
299	157738	105158
300	158341	104683
301	159039	104271
302	159673	103814
303	160453	103450
304	161209	103068
305	161904	102645
306	162485	102148
307	163079	101659
308	163670	101168
309	164239	100662
310	164800	100151
311	165353	99636
312	165907	99120
313	166652	98717
314	167375	98299
315	167952	97795
316	168454	97246
317	168970	96706
318	169557	96206
319	170174	95722
320	170722	95200
321	171287	94686
322	171927	94214
323	172438	93670
324	173002	93155
325	173617	92666
326	174334	92231
327	175027	91782
328	175656	91298
329	176369	90856
330	177234	90491
331	177863	90003
